location_id,lat_adj,lon_adj,elevation,Month_Year,acq_date,acq_year,acq_month,acq_day,brightness,confidence,frp,geometry,name,weather_code,temp_max (°C),temp_min (°C),temp_mean (°C),precipitation (mm),rain (mm),wind_speed_max (km/h),wind_gusts_max (km/h),wind_direction_dominant (°N)
0,25.42,77.85,429,5-2023,15-05-2023,2023,5,15,345.1,87.5,69.35,POINT (77.85 25.42),Madhav National Park,0,40.5,26.6,33.4,0,0,10.8,15.8,253
1,23.23,79.23,465,5-2023,13-05-2023,2023,5,13,342.3,83,22.3,POINT (79.23 23.23),Noradehi WLS,2,41.3,22.6,32.2,0,0,13.7,24.8,16
2,23.23,79.24,453,5-2023,13-05-2023,2023,5,13,346.5,88,31.1,POINT (79.24 23.23),Noradehi WLS,2,41.4,22.7,32.3,0,0,13.7,24.8,16
3,23.25,79.15,521,5-2023,13-05-2023,2023,5,13,344.7,86,26.5,POINT (79.15 23.25),Noradehi WLS,1,39.9,21.9,31.6,0,0,14.6,27.4,27
4,24.58,79.98,479,5-2023,13-05-2023,2023,5,13,359.5,99,60.2,POINT (79.98 24.58),Panna,0,38.1,22.5,30.3,0,0,10.6,25.6,319
5,24.58,79.99,462,5-2023,13-05-2023,2023,5,13,343.2,84,24.2,POINT (79.99 24.58),Panna,0,38.2,22.6,30.4,0,0,10.6,25.6,319
6,24.59,79.98,482,5-2023,13-05-2023,2023,5,13,342.6,84,24.2,POINT (79.98 24.59),Panna,0,38.1,22.5,30.3,0,0,10.6,25.6,319
7,24.6,79.96,365,5-2023,13-05-2023,2023,5,13,313.1,84,10.4,POINT (79.96 24.6),Panna,0,38.8,23.2,31,0,0,10.6,25.6,319
8,24.6,79.97,418,5-2023,13-05-2023,2023,5,13,323.1,100,22.1,POINT (79.97 24.6),Panna,0,38.5,22.9,30.7,0,0,10.6,25.6,319
9,23.79,81.05,457,5-2023,11-05-2023,2023,5,11,343.6,85,44.3,POINT (81.05 23.79),Bandhavgarh Tiger Reserve,0,38.1,22,30.6,0,0,13.7,30.2,286
10,23.79,81.05,457,5-2023,11-05-2023,2023,5,11,343.6,85,44.3,POINT (81.05 23.79),Panpatha WLS,0,38.1,22,30.6,0,0,13.7,30.2,286
11,24.59,82.63,307,5-2023,10-05-2023,2023,5,10,351.4,93,75.2,POINT (82.63 24.59),Bagdara WLS,0,38.1,22,30,0,0,7.8,18.4,124
12,23.14,79.14,419,4-2023,19-04-2023,2023,4,19,312.4,85,8.5,POINT (79.14 23.14),Noradehi WLS,51,39.2,26.7,32.2,0.2,0,12.6,24.5,48
13,23.14,79.15,575,4-2023,19-04-2023,2023,4,19,317.4,95,12.9,POINT (79.15 23.14),Noradehi WLS,51,38.6,27,31.8,0.3,0,12.9,24.8,38
14,25.66,78.16,585,4-2023,18-04-2023,2023,4,18,342.6,84,28.8,POINT (78.16 25.66),Karera WLS,2,37.3,24.4,30.7,0,0,9,18.4,77
15,25.66,78.17,229,4-2023,18-04-2023,2023,4,18,363.5,100,78.8,POINT (78.17 25.66),Karera WLS,1,40.7,25.5,32.5,0,0,10.1,13.3,116
16,22.94,77.81,229,4-2023,18-04-2023,2023,4,18,344.8,89,33.2,POINT (77.81 22.94),Ratapani WLS,1,40.7,25.5,32.5,0,0,10.1,13.3,116
17,23.09,77.94,363,4-2023,14-04-2023,2023,4,14,321.6,100,20.9,POINT (77.94 23.09),Ratapani WLS,1,37.4,24.1,30.4,0,0,10.5,25.2,60
18,23.84,81.06,425,4-2023,13-04-2023,2023,4,13,340.3,84,46.4,POINT (81.06 23.84),Bandhavgarh Tiger Reserve,1,38.2,22.3,31,0,0,8,19.4,67
19,23.84,81.06,425,4-2023,13-04-2023,2023,4,13,340.3,84,46.4,POINT (81.06 23.84),Panpatha WLS,1,38.2,22.3,31,0,0,8,19.4,67
20,23.46,79.3,399,4-2023,11-04-2023,2023,4,11,352.6,95,109,POINT (79.3 23.46),Noradehi WLS,0,36.5,20.1,28.4,0,0,12.5,25.9,39
